meno,dlzka,klub
Adriana Pčolinská,80,SME RODINA
Alan Suchánek,259,OĽaNO
Alena Bašistová,89,- Nezávislí -
Alojz Baránik,631,SaS
Andrej Danko,173,SNS
Andrej Hrnčiar,153,MOST - HÍD
Anna Verešová,618,OĽaNO
Anna Zemanová,1498,SaS
Anton Hrnko,235,SNS
Augustín Hambálek,8,SMER - SD
Boris Kollár,370,SME RODINA
Branislav Gröhling,240,SaS
Béla Bugár,106,MOST - HÍD
Daniel Lipšic,299,OĽaNO
Darina Gabániová,7,SMER - SD
Dušan Bublavý,129,SMER - SD
Dušan Galis,7,SMER - SD
Dušan Jarjabek,151,SMER - SD
Dušan Muňko,64,SMER - SD
Dušan Tittel,20,SNS
Dušan Čaplovič,29,SMER - SD
Edita Pfundtner,152,MOST - HÍD
Eduard Adamčík,7,MOST - HÍD
Eduard Heger,1842,OĽaNO
Elemér Jakab,4,MOST - HÍD
Elena Červeňáková,72,OĽaNO
Emil Ďurovčík,4,SMER - SD
Erik Tomáš,179,SMER - SD
Erika Jurinová,1354,OĽaNO
Eugen Jurzyca,665,SaS
Eva Antošová,76,SNS
Eva Smolíková,28,SNS
František Šebej,46,MOST - HÍD
Gabriel Csicsai,9,MOST - HÍD
Gábor Grendel,465,OĽaNO
Gábor Gál,182,MOST - HÍD
Igor Choma,20,SMER - SD
Igor Janckulík,50,MOST - HÍD
Igor Matovič,1029,OĽaNO
Irén Sárközy,132,MOST - HÍD
Jana Cigániková,506,SaS
Jana Kiššová,490,SaS
Jana Laššáková,32,SMER - SD
Jana Nehézová,74,ĽS Naše Slovensko
Jana Vaľová,259,SMER - SD
Jaroslav Baška,50,SMER - SD
Jaroslav Paška,106,SNS
Jaroslav Ridoško,8,SNS
Jozef Burian,94,SMER - SD
Jozef Ježík,2,SMER - SD
Jozef Lukáč,73,OĽaNO
Jozef Mihál,1178,SaS
Jozef Rajtár,421,SaS
Jozef Valocký,11,SMER - SD
Jozef Viskupič,1118,OĽaNO
Juraj Blanár,319,SMER - SD
Juraj Droba,88,SaS
Juraj Kolesár,55,ĽS Naše Slovensko
Juraj Soboňa,1,SNS
Ján Budaj,1252,OĽaNO
Ján Kecskés,150,ĽS Naše Slovensko
Ján Kvorka,107,SMER - SD
Ján Marosz,396,OĽaNO
Ján Mora,53,ĽS Naše Slovensko
Ján Podmanický,38,SMER - SD
Ján Senko,33,SMER - SD
Karol Farkašovský,237,SNS
Karol Galek,652,SaS
Katarína Cséfalvayová,25,MOST - HÍD
Katarína Macháčková,59,- Nezávislí -
Ladislav Balódi,7,MOST - HÍD
Ladislav Kamenický,120,SMER - SD
Lucia Nicholsonová,95,SaS
Lucia Ďuriš Nicholsonová,481,SaS
Lucia Žitňanská,22,MOST - HÍD
Magdaléna Kuciaňová,46,SNS
Marek Krajčí,392,OĽaNO
Marek Maďarič,51,SMER - SD
Marian Kotleba,769,ĽS Naše Slovensko
Marián Kéry,154,SMER - SD
Maroš Kondrót,18,SMER - SD
Martin Beluský,128,ĽS Naše Slovensko
Martin Fecko,934,OĽaNO
Martin Fedor,73,MOST - HÍD
Martin Glváč,243,SMER - SD
Martin Klus,578,SaS
Martin Kotleba,15,ĽS Naše Slovensko
Martin Nemky,13,SMER - SD
Martin Poliačik,626,SaS
Martina Šimkovičová,11,- Nezávislí -
Michal Bagačka,60,SMER - SD
Mikuláš Krajkovič,24,SMER - SD
Milan Krajniak,748,SME RODINA
Milan Laurenčík,162,SaS
Milan Mazurek,652,ĽS Naše Slovensko
Milan Mojš,7,SMER - SD
Milan Panáček,7,SMER - SD
Milan Uhrík,401,ĽS Naše Slovensko
Miroslav Beblavý,1084,- Nezávislí -
Miroslav Ivan,360,SaS
Miroslav Sopko,510,OĽaNO
Miroslav Číž,381,SMER - SD
Mária Janíková,9,SMER - SD
Natália Blahová,355,SaS
Natália Grausová,616,ĽS Naše Slovensko
Natália Milanová,61,OĽaNO
Ondrej Binder,9,ĽS Naše Slovensko
Ondrej Dostál,3038,SaS
Oto Žarnay,318,OĽaNO
Oľga Nachtmannová,32,SMER - SD
Pavol Goga,100,SMER - SD
Peter Antal,167,MOST - HÍD
Peter Chudík,21,SMER - SD
Peter Kresák,238,MOST - HÍD
Peter Krupa,12,ĽS Naše Slovensko
Peter Marček,145,SME RODINA
Peter Náhlik,5,SMER - SD
Peter Osuský,527,SaS
Peter Pamula,32,SNS
Peter Pčolinský,720,SME RODINA
Peter Štarchoň,135,SME RODINA
Peter Šuca,50,SMER - SD
Petra Krištúfková,73,SME RODINA
Péter Vörös,14,MOST - HÍD
Radoslav Pavelka,50,SaS
Radoslav Procházka,5,- Nezávislí -
Radovan Baláž,99,SNS
Rastislav Holúbek,3,- Nezávislí -
Rastislav Schlosár,195,ĽS Naše Slovensko
Renata Kaščáková,19,SaS
Renáta Kaščáková,294,SaS
Richard Raši,11,SMER - SD
Richard Vašečka,369,OĽaNO
Robert Kaliňák,19,SMER - SD
Róbert Madej,14,SMER - SD
Róbert Puci,24,SMER - SD
Silvia Petruchová,43,OĽaNO
Silvia Shahzad,547,OĽaNO
Simona Petrík,232,- Nezávislí -
Soňa Gaborčáková,1043,OĽaNO
Stanislav Drobný,121,ĽS Naše Slovensko
Stanislav Kmec,7,SNS
Stanislav Mizík,369,ĽS Naše Slovensko
Tibor Bastrnák,74,MOST - HÍD
Tibor Bernaťák,96,SNS
Tibor Jančula,4,SNS
Veronika Remišová,1026,OĽaNO
Viera Dubačová,231,OĽaNO
Vladimír Baláž,7,SMER - SD
Vladimír Faič,4,SMER - SD
Vladimír Matejička,4,SMER - SD
Vladimír Sloboda,117,SaS
Zsolt Simon,568,- Nezávislí -
Zuzana Zimenová,301,SaS
Zuzana Šebová,30,SME RODINA
Ľubomír Galko,378,SaS
Ľubomír Jahnátek,8,SMER - SD
Ľubomír Petrák,325,SMER - SD
Ľubomír Vážny,24,SMER - SD
Ľubomír Želiezka,6,SMER - SD
Ľuboš Blaha,200,SMER - SD
Ľuboš Martinák,20,SMER - SD
Ľudovít Goga,22,SME RODINA
Štefan Zelník,196,SNS
